"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C11";"C_Disc_D7.5mm_W5.0mm_P10.00mm";1;"100n";;;
2;"Q12";"TO-92_Inline_Wide";1;"BC557";;;
3;"J4";"PinHeader_2x05_P2.54mm_Vertical";1;"EURO_PWR_2x5";;;
4;"J3";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"Cv";;;
5;"J2";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"In";;;
6;"J1";"Jack_3.5mm_Ledino_KB3SPRS_Horizontal";1;"Out";;;
7;"D2,D1";"D_DO-35_SOD27_P7.62mm_Horizontal";2;"D";;;
8;"Freq1,CV1,Off1,Offlad1";"Potentiometer_ACP_CA9-V10_Vertical";4;"100k";;;
9;"In1,Res1";"Potentiometer_ACP_CA9-V10_Vertical";2;"10k";;;
10;"R29,R20,R18,R17,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"1k";;;
11;"R28,R24,R22,R21,R15,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"100k";;;
12;"R27,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1,2k";;;
13;"R19";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"9k";;;
14;"Q11,Q10,Q9,Q8,Q7,Q6,Q5,Q4,Q3,Q2,Q1";"TO-92_Inline_Wide";11;"BC547";;;
15;"C12,C10,C9,C8,C7,C6";"CP_Radial_D5.0mm_P2.50mm";6;"10u";;;
16;"U1";"DIP-14_W7.62mm_LongPads";1;"TL074";;;
17;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"6,8k";;;
18;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4,7k";;;
19;"R13,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1,5k";;;
20;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1m";;;
21;"C2,C1,C3,C4";"C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT";4;"47n";;;
22;"C5";"CP_Radial_D7.5mm_P2.50mm";1;"220u";;;
23;"R2,R1,R3,R4,R5,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"220";;;
24;"R6,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470";;;
